# sc	tc	usage_score	pinyin(optional)
# Project-maintained place names. Keep this layer conservative: common places may
# receive higher scores, but ordinary place names should remain lower than daily
# vocabulary and user-learned words.
北京	北京	0.92	beijing
上海	上海	0.92	shanghai
广州	廣州	0.90	guangzhou
深圳	深圳	0.90	shenzhen
杭州	杭州	0.90	hangzhou
成都	成都	0.90	chengdu
重庆	重慶	0.90	chongqing
南京	南京	0.88	nanjing
武汉	武漢	0.88	wuhan
西安	西安	0.88	xian
天津	天津	0.86	tianjin
苏州	蘇州	0.86	suzhou
青岛	青島	0.86	qingdao
厦门	廈門	0.86	xiamen
宁波	寧波	0.84	ningbo
长沙	長沙	0.84	changsha
郑州	鄭州	0.84	zhengzhou
济南	濟南	0.84	jinan
合肥	合肥	0.82	hefei
福州	福州	0.82	fuzhou
南昌	南昌	0.82	nanchang
昆明	昆明	0.82	kunming
贵阳	貴陽	0.80	guiyang
太原	太原	0.80	taiyuan
沈阳	瀋陽	0.82	shenyang
大连	大連	0.82	dalian
长春	長春	0.80	changchun
哈尔滨	哈爾濱	0.82	haerbin
石家庄	石家莊	0.80	shijiazhuang
呼和浩特	呼和浩特	0.78	huhehaote
乌鲁木齐	烏魯木齊	0.78	wulumuqi
兰州	蘭州	0.78	lanzhou
西宁	西寧	0.76	xining
银川	銀川	0.76	yinchuan
拉萨	拉薩	0.78	lasa
南宁	南寧	0.78	nanning
海口	海口	0.78	haikou
三亚	三亞	0.78	sanya
无锡	無錫	0.80	wuxi
常州	常州	0.78	changzhou
温州	溫州	0.80	wenzhou
嘉兴	嘉興	0.76	jiaxing
绍兴	紹興	0.76	shaoxing
金华	金華	0.76	jinhua
台州	台州	0.76	taizhou
丽水	麗水	0.74	lishui
舟山	舟山	0.74	zhoushan
湖州	湖州	0.74	huzhou
扬州	揚州	0.76	yangzhou
镇江	鎮江	0.74	zhenjiang
南通	南通	0.76	nantong
徐州	徐州	0.76	xuzhou
泉州	泉州	0.78	quanzhou
漳州	漳州	0.74	zhangzhou
东莞	東莞	0.82	dongguan
佛山	佛山	0.82	foshan
珠海	珠海	0.80	zhuhai
中山	中山	0.78	zhongshan
惠州	惠州	0.76	huizhou
汕头	汕頭	0.76	shantou
河北	河北	0.72	hebei
山西	山西	0.72	shanxi
辽宁	遼寧	0.72	liaoning
吉林	吉林	0.72	jilin
黑龙江	黑龍江	0.72	heilongjiang
江苏	江蘇	0.74	jiangsu
浙江	浙江	0.74	zhejiang
安徽	安徽	0.72	anhui
福建	福建	0.72	fujian
江西	江西	0.72	jiangxi
山东	山東	0.74	shandong
河南	河南	0.74	henan
湖北	湖北	0.74	hubei
湖南	湖南	0.74	hunan
广东	廣東	0.76	guangdong
海南	海南	0.72	hainan
四川	四川	0.76	sichuan
贵州	貴州	0.72	guizhou
云南	雲南	0.72	yunnan
陕西	陝西	0.72	shaanxi
甘肃	甘肅	0.70	gansu
青海	青海	0.70	qinghai
台湾	臺灣	0.76	taiwan
香港	香港	0.82	xianggang
澳门	澳門	0.80	aomen
内蒙古	內蒙古	0.72	neimenggu
广西	廣西	0.72	guangxi
西藏	西藏	0.72	xizang
宁夏	寧夏	0.70	ningxia
新疆	新疆	0.72	xinjiang
蚌埠	蚌埠	0.72	bengbu
六安	六安	0.72	luan
乐山	樂山	0.72	leshan
都江堰	都江堰	0.72	dujiangyan
庐山	廬山	0.70	lushan
黄山	黃山	0.74	huangshan
华山	華山	0.70	huashan
嵩山	嵩山	0.68	songshan
纽约	紐約	0.82	niuyue
伦敦	倫敦	0.82	lundun
巴黎	巴黎	0.82	bali
东京	東京	0.82	dongjing
大阪	大阪	0.78	daban
京都	京都	0.78	jingdu
首尔	首爾	0.80	shouer
新加坡	新加坡	0.82	xinjiapo
曼谷	曼谷	0.76	mangu
悉尼	悉尼	0.78	xini
墨尔本	墨爾本	0.78	moerben
洛杉矶	洛杉磯	0.78	luoshanji
旧金山	舊金山	0.78	jiujinshan
西雅图	西雅圖	0.76	xiyatu
芝加哥	芝加哥	0.76	zhijiage
华盛顿	華盛頓	0.78	huashengdun
多伦多	多倫多	0.78	duolunduo
温哥华	溫哥華	0.78	wengehua
柏林	柏林	0.76	bolin
慕尼黑	慕尼黑	0.76	munihei
罗马	羅馬	0.76	luoma
米兰	米蘭	0.76	milan
马德里	馬德里	0.76	madeli
巴塞罗那	巴塞羅那	0.76	basailuona
莫斯科	莫斯科	0.78	mosike
迪拜	迪拜	0.76	dibai

# word1 curated import 2026-06-03 (place_names); reviewed from D:/word1.txt
伶仃洋	伶仃洋	0.46	lingdingyang
淞沪	淞滬	0.46	songhu
横琴岛	橫琴島	0.46	hengqindao

# word2 curated import 2026-06-03 (place_names); reviewed from D:/word2.txt
长兴岛	長興島	0.44	changxingdao
新江湾城	新江灣城	0.44	xinjiangwancheng
江湾	江灣	0.44	jiangwan
樟宜	樟宜	0.44	zhangyi

# place-name additions 2026-06-18: reviewed import from D:/words.txt
光谷	光谷	0.50	guanggu
九洲港	九洲港	0.50	jiuzhougang
雅和园	雅和園	0.50	yaheyuan
